Source,Target,Type,id,label,timeset,weight,text
frantasticx,antiquityj,Directed,4226,,,1.0,Encourage teachers to focus less on negative (destruction) and call to action/address policy/outreach to military - Katharyn Hanson #aiascs
jivecambridge,antiquityj,Directed,4227,,,24.0,"RT @AntiquityJ: Can't make it to @AntiquityJ booth 115 at #aiascs #Toronto? Catch up with a FREE selection on Classical #archaeology
https:…"
antiquityj,antiquityj,Directed,4228,,,14.0,Can't make it to @AntiquityJ booth 115 at #aiascs #Toronto? Catch up with a FREE selection on Classical… https://t.co/nO8T82dkOP
jtchlup,antiquityj,Directed,4229,,,2.0,GM: Plutarch's Alexander was probably published before Suetonius' Lives. #aiascs #plutarch
jaredsimard,antiquityj,Directed,4230,,,2.0,have students participate content! #r2 #aiascs
opietasanimi,antiquityj,Directed,4231,,,7.0,"RT @AntiquityJ: Delphi4Delphi: #DigitalArchaeology initiative for #Delphi #Greece #aiascs 
Free to read #ProjectGallery article
https://t.c…"
cneness,antiquityj,Directed,4232,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
opuspaulicium,antiquityj,Directed,4233,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
henon21197498,antiquityj,Directed,4234,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
markpatton1,antiquityj,Directed,4235,,,1.0,"RT @AntiquityJ: Communal eating &amp; drinking at #aiascs?
Communal eating &amp; drinking in early Roman Gaul
One of our FREE picks: https://t.co/w…"
vincent_mourre,antiquityj,Directed,4236,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
bioarchitalia,antiquityj,Directed,4237,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
_bonnefoya,antiquityj,Directed,4238,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
s_bachmeyer,antiquityj,Directed,4239,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
garciadinrap,antiquityj,Directed,4240,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
inrap,antiquityj,Directed,4241,,,3.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
salegend17,antiquityj,Directed,4242,,,4.0,"RT @AntiquityJ: Valuable stash or symbolic deposit?
Hurard et al: Lead water boiler from #Roman #Gaul
FREE ACCESS #aiascs @Inrap https://t.…"
drmjcwarren,antiquityj,Directed,4243,,,1.0,RT @CambUP_Archaeo: Read a free collection of articles from @AntiquityJ on classical archaeology! https://t.co/q3GqPi2Nua #aiascs #archaeol…
glynnisfawkes,antiquityj,Directed,4244,,,4.0,Serious play in the exhibit hall #aiascs #game #cyprus #bronzeage https://t.co/gkIXLnZXBu
peregrinekiwi,antiquityj,Directed,4245,,,2.0,"If you're digi-curious, check out tomorrow's Ancient MakerSpaces workshop series. I'll try to attend some, amongst other panels. #aiascs"
willguast,antiquityj,Directed,4246,,,1.0,Paideia Inst.: Classics PhDs who don't get tenure track jobs becoming secondary teachers at ten times the rate of some other fields. #aiascs
sarahveale,antiquityj,Directed,4247,,,1.0,Svetlana Slaveva-Griffin: Two types of medicine in Proclus (1) the demiurgic/divine and (2) the Asclepian/physical. #aiascs
cambup_archaeo,antiquityj,Directed,4248,,,3.0,Read a free collection of articles from @AntiquityJ on classical archaeology! https://t.co/q3GqPi2Nua #aiascs… https://t.co/lW8iyIAaSi
gabe55gabe,antiquityj,Directed,4249,,,2.0,RT @AntiquityJ: At #aiascs? Got idea for a 6000-word article? Think @AntiquityJ might be the place to send it? Come to booth 115 &amp; discuss…
shilib3,antiquityj,Directed,4250,,,1.0,"Fisher on shift from isolation to connectivity in late Bronze Age Cyprus, #aiascs, more decentralized peer-polities, 2A: Insulae Coniunctae"
vadarcho,antiquityj,Directed,4251,,,2.0,RT @AntiquityJ: At #aiascs? Got idea for a 6000-word article? Think @AntiquityJ might be the place to send it? Come to booth 115 &amp; discuss…
bioarcholivia,antiquityj,Directed,4252,,,2.0,Semchuk: no diet variation between diet but some between ages. Rural Vagnari is a typical Roman diet. #foodhealthmobilityinthepast #aiascs
davidpetts1,antiquityj,Directed,4253,,,2.0,RT @AntiquityJ: At #aiascs? Got idea for a 6000-word article? Think @AntiquityJ might be the place to send it? Come to booth 115 &amp; discuss…
mxmcadam,antiquityj,Directed,4254,,,3.0,RT @AntiquityJ: #aiascs @AntiquityJ booth #115 all set and ready to go in Toronto! https://t.co/OYJ9usRKPl
samuelkindick,antiquityj,Directed,4255,,,1.0,Hopefully this goes better than election Bingo!  #aiascs https://t.co/fww8KLwZxv
earchaeol,antiquityj,Directed,4256,,,1.0,"Classical Studies folk: If you're going to #aiascs Toronto, say hi to our friend Jerolyn Morrison! exhibiting… https://t.co/R1m6RD18td"
duclassicspgr,antiquityj,Directed,4257,,,4.0,RT @AntiquityJ: #aiascs underway in #Toronto. Can't make it? Enjoy free access to select @AntiquityJ #ClassicalArchaeology articles https:/…
papyrologus,antiquityj,Directed,4258,,,1.0,#aiascs - https://t.co/DnjTwgIfMb
jstpwalsh,antiquityj,Directed,4259,,,1.0,Gigantic billboard about not collecting ivory over LAX Terminal 2 security area. Need something like this for antiquities! #aiascs
afrmiami,antiquityj,Directed,4260,,,1.0,"RT @AntiquityJ: Antiquity's bag is packed for the Archaeological Institute of America meeting in #Toronto!
#aiascs @archaeology_aia https:/…"
hawkwing_lb,apistone,Directed,4261,,,1.0,RT @apistone: Check out this amazing illustration from a talk today! #aiascs https://t.co/3Dw8n9rBia
opietasanimi,apistone,Directed,4262,,,1.0,Just Toronto being a beauty #aiascs https://t.co/VGaoYtrrkR
lizgloyn,apistone,Directed,4263,,,1.0,RT @apistone: Check out this amazing illustration from a talk today! #aiascs https://t.co/3Dw8n9rBia
apistone,apistone,Directed,4264,,,1.0,Check out this amazing illustration from a talk today! #aiascs https://t.co/3Dw8n9rBia
indyfromspace,archaeology_aia,Directed,4265,,,3.0,YES THIS @archaeology_aia #aiascs https://t.co/6fYWT3RxDk
tularrasnal,archaeology_aia,Directed,4266,,,1.0,@ChasingAphrodit wonders if an @archaeology_aia live tweeter can report on AIA session 7I tomorrow? #AIASCS https://t.co/7GGp6QL04Y
rogueclassicist,archaeology_aia,Directed,4267,,,16.0,Noted in passing.: some folks at #aiascs were reading their papers from ipads/tablets
mokersel,archaeology_aia,Directed,4268,,,15.0,AIA needs a YouTube channel! @archaeology_aia #aiascs
giveawaynood,archaeology_aia,Directed,4269,,,4.0,Educating the kids on musical theatre while diyclassics is doing that #digiclassics at #aiascs Les Mis followed #HamiltonBway easily. #1mom
peripatesis,archaeology_aia,Directed,4270,,,2.0,"Interested in the long lives of antiquities? Come to Session 7I: Researching Ownership Histories at the #aiascs tomorrow, 8 am, City Hall."
chasingaphrodit,archaeology_aia,Directed,4271,,,1.0,RT @DebraForan: Demand for masks leads to looting at Neolithic sites @mokersel @archaeology_aia #aiascs
zoemcquinn,archaeology_aia,Directed,4272,,,1.0,RT @DebraForan: Demand for masks leads to looting at Neolithic sites @mokersel @archaeology_aia #aiascs
archaeoops,archaeology_aia,Directed,4273,,,2.0,RT @DebraForan: Demand for masks leads to looting at Neolithic sites @mokersel @archaeology_aia #aiascs
opietasanimi,archaeology_aia,Directed,4274,,,10.0,Classics and Social Justice: everyone is interested in academic responsibility that looks outwards as well as inwards #aiascs
debraforan,archaeology_aia,Directed,4275,,,2.0,Demand for masks leads to looting at Neolithic sites @mokersel @archaeology_aia #aiascs
mrumiker,archaeology_aia,Directed,4276,,,4.0,My wife Miriam's project on Crete presented their latest work today! #proud #aiascs #brandeis #rhodescollege https://t.co/rhAGprqYps
ryanmhorne,archaeology_aia,Directed,4277,,,1.0,"Q: Is there a productive role for @scsclassics / @archaeology_aia to make data standards, digital scholarship standards? #aiascs #ancmakers"
archaeology_aia,archaeology_aia,Directed,4278,,,7.0,RT @indyfromspace: Look who I found at #aiascs @pompei79 amazing!!! @archaeology_aia https://t.co/I6M6R6O2y2
frantasticx,archaeology_aia,Directed,4279,,,1.0,Dr Nancy Wilkie calls for collaboration between US Committee of Blue Shield &amp; @archaeology_aia for joint effort in protecting sites #aiascs
dariusaryadigs,archaeology_aia,Directed,4280,,,1.0,RT @indyfromspace: Look who I found at #aiascs @pompei79 amazing!!! @archaeology_aia https://t.co/I6M6R6O2y2
earchaeol,archaeology_aia,Directed,4281,,,1.0,RT @JerolynMorrison: Success! THANK YOU for visiting Table 11. Getting ready for Day 2. @archaeology_aia @TorontoComms #aiascs #minoan #Arc…
jerolynmorrison,archaeology_aia,Directed,4282,,,4.0,Success! THANK YOU for visiting Table 11. Getting ready for Day 2. @archaeology_aia @TorontoComms #aiascs #minoan… https://t.co/u6f74fLAvX
gary_knight2424,archaeology_aia,Directed,4283,,,1.0,RT @nissaa____: Today was great!! Presented my research on Meroitic ceramics on the @ROMtoronto panel 😊🔥#aiascs @archaeology_aia https://t.…
servilius_ahala,archaeology_aia,Directed,4284,,,1.0,Kudos to @paregorios and @PleiadesProject for being recognized by @archaeology_aia for contributions to digital archae #AIASCS #adfines
nowyyz,archaeology_aia,Directed,4285,,,1.0,RT @nissaa____: Today was great!! Presented my research on Meroitic ceramics on the @ROMtoronto panel 😊🔥#aiascs @archaeology_aia https://t.…
nissaa____,archaeology_aia,Directed,4286,,,1.0,Today was great!! Presented my research on Meroitic ceramics on the @ROMtoronto panel 😊🔥#aiascs @archaeology_aia https://t.co/rlEDwXH4Wg
jd_phd,archaeology_aia,Directed,4287,,,3.0,". @peripatesis Posters are accompanied by makers until 3, but stay up longer. Till tomorrow, @archaeology_aia ? #aiascs"
lizcoops,archaeology_aia,Directed,4288,,,2.0,Goyette: philosophy as Seneca's cure for the turbulence of both the human condition and the wider universe #s19 #aiascs
lislanna,archaeology_aia,Directed,4289,,,2.0,I *think* Roman arguing: locative aspect of classical phil. becomes more impt bc of the printing press' preservative effects. #s20 #aiascs
peregrinekiwi,archaeology_aia,Directed,4290,,,9.0,"Crane: ""we're corpus linguists, we just don't know what we're doing."" #s24 #aiascs"
sarahebond,archaeology_aia,Directed,4291,,,2.0,You guys? @PleiadesProject won a big @archaeology_aia award this yr. &amp; we're celebrating @paregorios' leadership. A… https://t.co/1MqFODBAmL
bioarchitalia,archaeology_aia,Directed,4292,,,1.0,RT @liana_brent: Lisa Semchuk on age-related dietary practices at Vagnari through isotopic analysis #aiascs @archaeology_aia https://t.co/7…
salegend17,archaeology_aia,Directed,4293,,,3.0,RT @archaeology_aia: Download the #AIASCS app for the conference! https://t.co/RI6zMvJQCP
kelseymuseum,archaeology_aia,Directed,4294,,,1.0,RT @archaeology_aia: Download the #AIASCS app for the conference! https://t.co/RI6zMvJQCP
ileana27ileana,archaeology_aia,Directed,4295,,,1.0,RT @archaeology_aia: Download the #AIASCS app for the conference! https://t.co/RI6zMvJQCP
liana_brent,archaeology_aia,Directed,4296,,,1.0,Lisa Semchuk on age-related dietary practices at Vagnari through isotopic analysis #aiascs @archaeology_aia https://t.co/7KEUe4reGE
daytheelf,archaeology_aia,Directed,4297,,,1.0,Sarah is my hero of the day. #aiascs https://t.co/bshAZxmdh4
bioarcholivia,archaeology_aia,Directed,4298,,,2.0,McNamee: Wheat more frequently processed and increases thru time. Barley decreases thru time. #foodhealthmobilityinthepast #aiascs
jstpwalsh,archaeology_aia,Directed,4299,,,1.0,".@indyfromspace: ""space archaeology"" better than mid-troposphere pixel-based archaeology (for outreach, anyway) #aiascs"
diyclassics,archaeology_aia,Directed,4300,,,7.0,RT @Harvard_Press: In Toronto for #aiascs? We'd love to see you at booth 101! @archaeology_aia @scsclassics
chrismologos,archaeology_aia,Directed,4301,,,2.0,Truculentus was excellent! A great way to kick off the #aiascs
snarrkaeology,archaeology_aia,Directed,4302,,,1.0,I'm impressed #aiascs https://t.co/QMO92dhvAy
timothyphin,archaeology_aia,Directed,4303,,,1.0,A hearty thank you to all the folks tweeting #aiascs! You make this year away better.
mxmcadam,archaeology_aia,Directed,4304,,,2.0,RT @Harvard_Press: In Toronto for #aiascs? We'd love to see you at booth 101! @archaeology_aia @scsclassics
devinleaward,archaeology_aia,Directed,4305,,,1.0,Find me tomorrow @ the 11am-3pm @archaeology_aia Poster Session by my poster: Post-Occupational Burials at the Roman Villa di Vacone #aiascs
harvard_press,archaeology_aia,Directed,4306,,,1.0,In Toronto for #aiascs? We'd love to see you at booth 101! @archaeology_aia @scsclassics
grumpyyetamusin,archaeology_aia,Directed,4307,,,1.0,"RT @indyfromspace: Toronto-bound for @archaeology_aia #aiascs 2017! Excited to give talk in plenary session. Watch for refs to Avengers, In…"
diffendale,archaeology_aia,Directed,4308,,,2.0,@JerolynMorrison @archaeology_aia @ucdarchaeology #aiascs !
realtalkscs,archaeology_aia,Directed,4309,,,1.0,#AIASCS https://t.co/1bR4tDqZNS
scsclassics,archaeology_aia,Directed,4310,,,1.0,Hope everyone is stoked for #AIASCS! We'll be tweeting about it all weekend. Where are you in the process?
michaelhelfield,archaeology_aia,Directed,4311,,,1.0,"@joerogan ""Younger Dryas Cosmic Impact Cataclysm 12,800 Years Ago:
Extinction of Ice Age Giants"" at #AIASCS @archaeology_aia"
afrmiami,archaeology_aia,Directed,4312,,,5.0,"RT @AntiquityJ: Antiquity's bag is packed for the Archaeological Institute of America meeting in #Toronto!
#aiascs @archaeology_aia https:/…"
skyejamie,archaeology_aia,Directed,4313,,,1.0,"RT @AntiquityJ: Antiquity's bag is packed for the Archaeological Institute of America meeting in #Toronto!
#aiascs @archaeology_aia https:/…"
antiquityj,archaeology_aia,Directed,4314,,,2.0,"Antiquity's bag is packed for the Archaeological Institute of America meeting in #Toronto!
#aiascs @archaeology_aia… https://t.co/84pBIrHDYG"
res_australes,archaeology_aia,Directed,4315,,,2.0,RT @archaeology_aia: Less than one week until the 2017 AIA/SCS Joint Annual Meeting in Toronto #aiascs
sebhth,archaeology_aia,Directed,4316,,,2.0,"The ipython notebook ""Parsing #RDFa in ISAW's Born Digital Publications"" https://t.co/gq2DPhbxHz is becoming more coherent as #AIASCS nears."
richardhgerrard,archaeology_aia,Directed,4317,,,1.0,RT @archaeology_aia: Less than one week until the 2017 AIA/SCS Joint Annual Meeting in Toronto #aiascs
utkclassics,archaeology_aia,Directed,4318,,,1.0,RT @archaeology_aia: Less than one week until the 2017 AIA/SCS Joint Annual Meeting in Toronto #aiascs
kritiosknabe,archaeology_aia,Directed,4319,,,2.0,RT @archaeology_aia: Less than one week until the 2017 AIA/SCS Joint Annual Meeting in Toronto #aiascs
paregorios,archaeology_aia,Directed,4320,,,2.0,Yo! @JD_PhD @Pompeiana79 @archaeology_aia @scsclassics #aiascs
aspiringspartan,archaeology_aia,Directed,4321,,,1.0,Pretty excited to start using the new app for the #aiascs meeting in Toronto next week!!! 🤓🏛🏺#GreekVasesRule… https://t.co/YdKRJejxkZ
livclassicshub,archaeology_aia,Directed,4322,,,2.0,"RT @archaeology_aia: Don't miss the Maritime #Archaeology session at the #aiascs on Friday, January 6, 8:00 - 10:30 am! https://t.co/Ipour3…"
duclassicspgr,archaeology_aia,Directed,4323,,,2.0,"RT @archaeology_aia: Don't miss the Maritime #Archaeology session at the #aiascs on Friday, January 6, 8:00 - 10:30 am! https://t.co/Ipour3…"
c_porcel,archaeology_aia,Directed,4324,,,3.0,RT @archaeology_aia: There's still time to register for the annual meeting in #Toronto! https://t.co/OjCSJ2oszG #archaeology #aiascs https:…
libantiquity,archaeology_aia,Directed,4325,,,1.0,We're off for the holidays! See you back on January 6 as we go live from the #aiascs in Toronto.
duclassicspgr,archaeologyncl,Directed,4326,,,1.0,RT @duxBritanniarum: Are you at the #AIASCS Toronto? Visit our @ArchaeologyNCL @ClassicsNCL booth in the Exhibition Hall! https://t.co/zkKa…
duxbritanniarum,archaeologyncl,Directed,4327,,,1.0,Are you at the #AIASCS Toronto? Visit our @ArchaeologyNCL @ClassicsNCL booth in the Exhibition Hall! https://t.co/zkKaMQbrFG
captain_primate,archaeologyto,Directed,4328,,,1.0,RT @ArchaeologyTO: Into Toronto heritage? Come to a free session on local archaeology this Sunday #aiascs  @heritagetoronto  https://t.co/J…
can_arch,archaeologyto,Directed,4329,,,1.0,RT @ArchaeologyTO: Into Toronto heritage? Come to a free session on local archaeology this Sunday #aiascs  @heritagetoronto  https://t.co/J…
colbornelodgeto,archaeologyto,Directed,4330,,,1.0,RT @ArchaeologyTO: Into Toronto heritage? Come to a free session on local archaeology this Sunday #aiascs  @heritagetoronto  https://t.co/J…
ontheritagepro,archaeologyto,Directed,4331,,,1.0,RT @ArchaeologyTO: Into Toronto heritage? Come to a free session on local archaeology this Sunday #aiascs  @heritagetoronto  https://t.co/J…
